"nama","genre","asal"
"Budi Rusmana","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Budi Rusmana","http://id.dbpedia.org/resource/Hip_hop","http://id.dbpedia.org/resource/Indonesia"
"Budi Rusmana","http://id.dbpedia.org/resource/Hip_hop","http://id.dbpedia.org/resource/Jakarta"
"Agi Ginanjar","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Baghdad"
"Charlie Chandra","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Charlie Chandra","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Muhammad Rizky","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Muhammad Rizky","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Hendra Bartholomeus","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Hendra Bartholomeus","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Bennedict Alwin Surya","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Bennedict Alwin Surya","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Indra Fachmi Bobby","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Indra Fachmi Bobby","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Drimi","http://id.dbpedia.org/resource/R&B","Jakarta, DKI Jakarta, Indonesia"
"Drimi","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Peppi Kamadhatu","http://id.dbpedia.org/resource/Jazz","Indonesia"
"Peppi Kamadhatu","http://id.dbpedia.org/resource/Smooth_jazz","Indonesia"
"JFlow","http://id.dbpedia.org/resource/Hip-hop","Indonesia"
"JFlow","http://id.dbpedia.org/resource/Rap","Indonesia"
"Muhammad Hamzah (personil The Fly)","http://id.dbpedia.org/resource/Rock","Jakarta, Indonesia"
"Muhammad Hamzah (personil The Fly)","http://id.dbpedia.org/resource/Musik_Pop","Jakarta, Indonesia"
"Zaneta","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Hip-hop","Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Pop_rock","Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/R&B","Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Electropop","Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Musik_soul","Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Pop","Indonesia"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Dance","Indonesia"
